,multi_sample_binning/S3.bam_cov
S2:k115_1821,0.02870368235590234
S2:k115_724,0.01423334882410928
S2:k115_6076,0.0029790922365539063
S2:k115_7686,0.008427746091130483
S2:k115_1105,0.08381857922142326
S2:k115_6420,0.006112947081024652
S2:k115_6776,0.011060708493004189
S2:k115_7690,0.011662794292508917
S2:k115_769,0.037206944536698774
S2:k115_2371,0.00910729975602696
S2:k115_5675,0.0052073151557888685
S2:k115_4035,0.005503446414803392
S2:k115_3177,0.0039495929087327636
S2:k115_1113,0.02896886003217651
S2:k115_9359,0.009428106865387665
S2:k115_4916,0.03340731285988484
S2:k115_797,0.011043919084593378
S2:k115_5215,0.005857953216374268
S2:k115_8535,0.009395059762893516
S2:k115_5702,0.010351327242735693
S2:k115_4418,0.013815287597129501
S2:k115_6443,0.007609211933577258
S2:k115_2389,0.003759124036440084
S2:k115_9775,0.17232901964245192
S2:k115_2637,0.014707183419028984
S2:k115_1132,0.03612151942770347
S2:k115_7738,0.013196813186813186
S2:k115_1541,0.006453719412724306
S2:k115_7382,0.02950789518638277
S2:k115_3648,0.0068438765020889265
S2:k115_2432,0.009834060016075735
S2:k115_6161,0.009392482320841918
S2:k115_8144,0.055844658187599365
S2:k115_8943,0.03787219867886641
S2:k115_4083,0.009869236294313608
S2:k115_2657,0.003324359824194827
S2:k115_1191,0.028565738605161997
S2:k115_6474,0.002314617987689256
S2:k115_2437,0.03517457494672034
S2:k115_7434,0.011607004107272287
S2:k115_6178,0.03708107843137255
S2:k115_4464,0.014616565101303595
S2:k115_3216,0.00732121613973906
S2:k115_8949,0.008552122078358836
S2:k115_9380,0.009115299473705572
S2:k115_6844,0.0013989676285503713
S2:k115_5748,0.019860022055580063
S2:k115_8633,0.007879249394673124
S2:k115_3220,0.012987382276603633
S2:k115_2441,0.0018851875187518752
S2:k115_7765,0.003647872163895714
S2:k115_9397,0.005402652510953825
S2:k115_3684,0.021243995468675905
S2:k115_2677,0.004776978857046716
S2:k115_4090,0.006680908284651127
S2:k115_6515,0.03010518477043673
S2:k115_7788,0.012320312790337566
S2:k115_9858,0.018207174447174446
S2:k115_6518,0.020986424726192686
S2:k115_1226,0.00817155124249119
S2:k115_3282,4.12964512310887
S2:k115_9004,0.019943012008822807
S2:k115_2026,0.011882124347390754
S2:k115_9859,0.008193582215472875
S2:k115_3286,0.01424728813559322
S2:k115_6924,0.015105338983050847
S2:k115_1238,0.010137487191707375
S2:k115_9433,0.013434964040274892
S2:k115_2047,0.006617236497115889
S2:k115_6549,0.004749336492890995
S2:k115_8235,0.0036618783671403263
S2:k115_9451,0.005269750768732804
S2:k115_6954,0.01426482501801874
S2:k115_8247,0.02296162882527147
S2:k115_1628,0.01182045277796085
S2:k115_6963,0.010826965556504411
S2:k115_9864,0.009123519275182092
S2:k115_3688,0.00896144459500895
S2:k115_9047,0.005010235860182084
S2:k115_9463,0.07323039107218317
S2:k115_3693,0.014683805274638112
S2:k115_9052,0.06051246462076642
S2:k115_6971,0.057684418604651164
S2:k115_9481,0.036373636363636365
S2:k115_9876,0.01022860862412604
S2:k115_9878,0.031497363623808866
S2:k115_7000,1.8666358794738453
S2:k115_2821,0.0158104158004158
S2:k115_9891,0.006115294204394632
S2:k115_2837,0.006254178424811122
S2:k115_2853,0.011365220933102937
S3:k115_8675,0.017728715393133997
S3:k115_414,0.005124288696378248
S3:k115_7861,0.01483552883746158
S3:k115_2481,0.028576162919277552
S3:k115_2916,0.024894386698964984
S3:k115_9096,0.015084109113844214
S3:k115_829,0.014813410705826622
S3:k115_3739,0.004375541327124563
S3:k115_9510,0.03118180984153461
S3:k115_437,0.013499736070381232
S3:k115_4580,0.016020673782521682
S3:k115_9518,0.5223545595854922
S3:k115_6623,0.02781711017247448
S3:k115_438,0.18197544276457883
S3:k115_9524,0.04168658966420576
S3:k115_8308,0.013689311803694823
S3:k115_2939,0.011156963919037841
S3:k115_4157,0.0183438694113863
S3:k115_9525,0.020250014329213684
S3:k115_1298,0.014862535539995756
S3:k115_6632,0.00844810648890389
S3:k115_6202,0.01447457365076354
S3:k115_1697,0.01030082774049217
S3:k115_2513,0.009650041789343717
S3:k115_871,0.0260528670200507
S3:k115_2123,0.002011153206932809
S3:k115_8345,0.14392829155060355
S3:k115_2974,0.009967557949722494
S3:k115_5821,0.005847546928235064
S3:k115_6233,0.3023608137432188
S3:k115_8349,0.011419127301841473
S3:k115_1325,0.03522010711343038
S3:k115_6240,0.013523513513513514
S3:k115_474,0.019749844819717022
S3:k115_9191,0.04159302265557786
S3:k115_5014,0.05008085498346718
S3:k115_7058,0.006905637183397427
S3:k115_3754,0.006562030833086273
S3:k115_1723,0.011400500752202879
S3:k115_9212,0.00949905109489051
S3:k115_888,0.001963875720691864
S3:k115_4654,0.004183354735152488
S3:k115_2561,0.011551966184063987
S3:k115_7564,0.027021214041930766
S3:k115_6263,0.011907629033638619
S3:k115_5496,0.20403480228715704
S3:k115_9606,0.016566291390728478
S3:k115_7065,0.03264193428603578
S3:k115_8749,0.009112094667714248
S3:k115_223,0.01619168914123492
S3:k115_4676,0.012974469758611338
S3:k115_7091,0.010546667603259343
S3:k115_3047,1.5435125097601785
S3:k115_7608,0.2250789791091841
S3:k115_8440,0.3872963247863248
S3:k115_919,0.02518727671101904
S3:k115_251,0.0313913393107313
S3:k115_9277,0.05086271317829458
S3:k115_5073,0.023034830699774266
S3:k115_930,0.5274326804123711
S3:k115_264,0.016970886119764623
S3:k115_9656,1.0563511238918604
S3:k115_6692,0.014282600104913445
S3:k115_268,0.12175609531437726
S3:k115_5508,0.004021848949222121
S3:k115_8807,0.009583259776083076
S3:k115_8475,0.03302282051282052
S3:k115_287,0.02899929224340559
S3:k115_583,0.02334931777378815
S3:k115_4743,0.010132195878168885
S3:k115_1366,0.016164816996213714
S3:k115_9298,0.004425011037527593
S3:k115_6719,0.016431154310553007
S3:k115_5545,0.02429522218394764
S3:k115_299,0.008961750067138126
S3:k115_6731,0.5245307866567089
S3:k115_3479,0.021583818509547683
S3:k115_7165,0.011614025467241733
S3:k115_9691,0.005458643635520519
S3:k115_1747,0.014266381149525066
S3:k115_3083,0.06119999323867478
S3:k115_6343,0.005321962662736428
S3:k115_9303,0.0038633325305557228
S3:k115_4771,0.012383305252073186
S3:k115_6356,0.006876064710308502
S3:k115_3114,0.04454176162409954
S3:k115_960,0.01695782727681451
S3:k115_1777,0.0065463257751041184
S3:k115_363,0.5459855144568898
S3:k115_8515,0.014853188891548958
S3:k115_9349,0.03924735838629456
S3:k115_3485,0.002971914497654059
S3:k115_2566,0.00950470697369857
S3:k115_6753,0.004970416875438421
S3:k115_8534,0.007673350363000806
S3:k115_9358,0.0041921561338289955
S3:k115_4807,0.0024346725213637305
S3:k115_9693,0.010539530913416712
S3:k115_1399,0.002924690037790464
S3:k115_4372,0.003155282076884673
S3:k115_8040,0.013985617008623252
S3:k115_1807,0.004214470015490152
S3:k115_2359,0.010744463276836157
S3:k115_1407,0.05692056910569106
S3:k115_5195,0.004977066191555987
S3:k115_4399,0.39502543890604325
S3:k115_682,0.00487386922235653
S3:k115_3150,0.005791391147244806
S3:k115_6065,0.02090127482051614
S3:k115_8929,0.0060533441054572675
S3:k115_2569,0.012081803715607117
S3:k115_8065,0.039543001965090745
S3:k115_6395,0.004785669222068618
S3:k115_3959,0.0053261037049153505
S3:k115_1821,0.02820028441983388
S3:k115_2576,0.011532269000664746
S3:k115_724,0.009867766511758906
S3:k115_9751,0.0038614001444275056
S3:k115_7339,0.01265614650441422
S3:k115_7686,0.0110218942575795
S3:k115_1105,0.05133655591371188
S3:k115_6420,0.00988713803902674
S3:k115_7690,0.04471868014268728
S3:k115_7357,0.02534009970358394
S3:k115_6078,0.02124654616535547
S3:k115_769,0.033885788774493525
S3:k115_2371,0.008569732043170823
S3:k115_5675,0.00888983493953877
S3:k115_1502,0.00839466803559206
S3:k115_4035,0.042126422513492676
S3:k115_3177,0.005372223681330707
S3:k115_8094,0.022169237309971657
