,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_3479_2,0.00020700950056327401,0.00020700950056327401,0.00020700950056327401,0.00020700950056327401,0.00020700950056327401
k115_1747_1,0.000283562989549597,0.000283562989549597,0.000283562989549597,0.000283562989549597,0.000283562989549597
k115_1747_2,0.000155348397435897,0.000155348397435897,0.000155348397435897,0.000155348397435897,0.000155348397435897
k115_6343_1,3.2647285679194e-05,3.2647285679194e-05,3.2647285679194e-05,3.2647285679194e-05,3.2647285679194e-05
k115_6343_2,4.5543380004912e-05,4.5543380004912e-05,4.5543380004912e-05,4.5543380004912e-05,4.5543380004912e-05
k115_2250_1,0.00012651331658291402,0.00012651331658291402,0.00012651331658291402,0.00012651331658291402,0.00012651331658291402
k115_2250_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4771_1,0.000150159233908121,0.000150159233908121,0.000150159233908121,0.000150159233908121,0.000150159233908121
k115_4771_2,7.644592602342999e-05,7.644592602342999e-05,7.644592602342999e-05,7.644592602342999e-05,7.644592602342999e-05
k115_960_1,0.000121297904449135,0.000121297904449135,0.000121297904449135,0.000121297904449135,0.000121297904449135
k115_960_2,6.4215094413385e-05,6.4215094413385e-05,6.4215094413385e-05,6.4215094413385e-05,6.4215094413385e-05
k115_5992_1,0.00010513133999661099,0.00010513133999661099,0.00010513133999661099,0.00010513133999661099,0.00010513133999661099
k115_5992_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1777_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1777_2,7.8767283664969e-05,7.8767283664969e-05,7.8767283664969e-05,7.8767283664969e-05,7.8767283664969e-05
k115_5172_1,0.000112649800796812,0.000112649800796812,0.000112649800796812,0.000112649800796812,0.000112649800796812
k115_5172_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3485_1,5.8291349934469e-05,5.8291349934469e-05,5.8291349934469e-05,5.8291349934469e-05,5.8291349934469e-05
k115_3485_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6359_1,0.000100012165129556,0.000100012165129556,0.000100012165129556,0.000100012165129556,0.000100012165129556
k115_6359_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2566_1,0.000103933741288723,0.000103933741288723,0.000103933741288723,0.000103933741288723,0.000103933741288723
k115_2566_2,4.1882946945011e-05,4.1882946945011e-05,4.1882946945011e-05,4.1882946945011e-05,4.1882946945011e-05
